seq,is_true,is_ignore,path,x0,x1,y0,y1,col
0,False,False,aachen_000001_000019_rF_00000.png,571.0,549.0,404.5,462.0,r
1,False,False,aachen_000001_000019_rF_00001.png,572.5,539.5,388.75,475.0,r
0,False,True,aachen_000004_000019_gi_00000.png,249.0,227.0,366.0,423.5,g
1,False,True,aachen_000004_000019_gi_00001.png,2011.25,1972.75,200.5,301.125,g
0,True,False,aachen_000010_000019_rT_00000.png,1664.5,1631.5,108.75,195.0,r
1,False,False,aachen_000010_000019_rF_00001.png,1411.0,1389.0,356.5,414.0,r
2,False,False,aachen_000010_000019_rF_00002.png,539.0,517.0,360.5,418.0,r
3,True,False,aachen_000010_000019_gT_00003.png,1875.0,1853.0,198.0,255.5,g
4,False,False,aachen_000010_000019_rF_00004.png,1544.5,1511.5,344.75,431.0,r
0,False,False,aachen_000013_000019_rF_00000.png,15.0,0.0,30.5,88.0,r
1,False,False,aachen_000013_000019_rF_00001.png,15.0,0.0,86.5,144.0,r
2,False,False,aachen_000013_000019_rF_00002.png,15.0,0.0,114.5,172.0,r
3,False,False,aachen_000013_000019_rF_00003.png,283.0,261.0,282.5,340.0,r
4,False,False,aachen_000013_000019_rF_00004.png,321.0,299.0,288.5,346.0,r
5,False,False,aachen_000013_000019_rF_00005.png,349.0,327.0,292.5,350.0,r
6,False,False,aachen_000013_000019_rF_00006.png,1679.0,1657.0,452.5,510.0,r
7,False,False,aachen_000013_000019_gF_00007.png,1561.0,1539.0,394.0,451.5,g
8,False,False,aachen_000013_000019_rF_00008.png,316.5,283.5,280.75,367.0,r
0,False,False,aachen_000014_000019_rF_00000.png,2037.0,2015.0,56.5,114.0,r
1,False,True,aachen_000014_000019_ri_00001.png,2053.0,2031.0,62.5,120.0,r
2,True,False,aachen_000014_000019_rT_00002.png,573.0,551.0,340.5,398.0,r
3,False,False,aachen_000014_000019_rF_00003.png,1275.0,1253.0,414.5,472.0,r
4,False,False,aachen_000014_000019_gF_00004.png,2000.5,1967.5,381.0,467.25,g
0,True,False,aachen_000031_000019_gT_00000.png,1917.0,1895.0,260.0,317.5,g
0,True,False,aachen_000035_000019_rT_00000.png,47.0,25.0,302.5,360.0,r
1,False,True,aachen_000035_000019_ri_00001.png,917.0,895.0,324.5,382.0,r
2,False,False,aachen_000035_000019_rF_00002.png,1148.5,1115.5,1000.75,1087.0,r
3,False,True,aachen_000035_000019_ri_00003.png,56.5,23.5,300.75,387.0,r
0,False,False,aachen_000044_000019_rF_00000.png,601.0,579.0,48.5,106.0,r
1,False,False,aachen_000044_000019_rF_00001.png,787.0,765.0,394.5,452.0,r
2,False,False,aachen_000044_000019_rF_00002.png,701.0,679.0,446.5,504.0,r
3,False,False,aachen_000044_000019_rF_00003.png,1969.0,1947.0,540.5,598.0,r
0,True,False,aachen_000045_000019_rT_00000.png,1819.0,1797.0,130.5,188.0,r
1,False,True,aachen_000045_000019_ri_00001.png,1813.0,1791.0,154.5,212.0,r
2,True,False,aachen_000045_000019_rT_00002.png,27.0,5.0,312.5,370.0,r
3,False,False,aachen_000045_000019_rF_00003.png,1357.0,1335.0,482.5,540.0,r
4,False,False,aachen_000045_000019_rF_00004.png,1009.0,987.0,484.5,542.0,r
5,False,False,aachen_000045_000019_gF_00005.png,1833.0,1811.0,84.0,141.5,g
6,False,False,aachen_000045_000019_gF_00006.png,1807.0,1785.0,108.0,165.5,g
7,False,True,aachen_000045_000019_ri_00007.png,1828.5,1795.5,132.75,219.0,r
8,False,True,aachen_000045_000019_ri_00008.png,36.5,3.5,312.75,399.0,r
9,False,False,aachen_000045_000019_rF_00009.png,1008.5,975.5,480.75,567.0,r
10,False,False,aachen_000045_000019_rF_00010.png,1355.25,1316.75,490.875,591.5,r
0,False,False,aachen_000046_000019_rF_00000.png,1129.0,1107.0,258.5,316.0,r
1,False,False,aachen_000046_000019_rF_00001.png,95.0,73.0,278.5,336.0,r
2,False,False,aachen_000046_000019_rF_00002.png,1019.0,997.0,356.5,414.0,r
3,False,False,aachen_000046_000019_rF_00003.png,1141.0,1119.0,482.5,540.0,r
4,False,False,aachen_000046_000019_rF_00004.png,1157.0,1135.0,482.5,540.0,r
5,False,False,aachen_000046_000019_rF_00005.png,1541.0,1519.0,484.5,542.0,r
6,False,False,aachen_000046_000019_gF_00006.png,41.0,19.0,64.0,121.5,g
7,False,False,aachen_000046_000019_gF_00007.png,673.0,651.0,330.0,387.5,g
8,False,False,aachen_000046_000019_gF_00008.png,1149.0,1127.0,434.0,491.5,g
9,False,False,aachen_000046_000019_gF_00009.png,1549.0,1527.0,438.0,495.5,g
10,False,True,aachen_000046_000019_ri_00010.png,1932.5,1899.5,256.75,343.0,r
11,False,False,aachen_000046_000019_rF_00011.png,1152.5,1119.5,472.75,559.0,r
12,False,False,aachen_000046_000019_rF_00012.png,1555.25,1516.75,474.875,575.5,r
13,False,False,aachen_000046_000019_rF_00013.png,1155.25,1116.75,474.875,575.5,r
0,False,False,aachen_000047_000019_rF_00000.png,452.5,419.5,436.75,523.0,r
0,False,False,aachen_000050_000019_rF_00000.png,685.0,663.0,264.5,322.0,r
1,False,False,aachen_000050_000019_rF_00001.png,1403.0,1381.0,414.5,472.0,r
0,False,False,aachen_000054_000019_rF_00000.png,721.0,699.0,284.5,342.0,r
1,False,False,aachen_000054_000019_rF_00001.png,815.0,793.0,374.5,432.0,r
2,False,False,aachen_000054_000019_rF_00002.png,823.0,801.0,398.5,456.0,r
3,False,False,aachen_000054_000019_rF_00003.png,1053.0,1031.0,404.5,462.0,r
4,False,False,aachen_000054_000019_rF_00004.png,587.0,565.0,412.5,470.0,r
5,False,False,aachen_000054_000019_rF_00005.png,565.0,543.0,426.5,484.0,r
6,False,False,aachen_000054_000019_rF_00006.png,607.0,585.0,428.5,486.0,r
7,False,False,aachen_000054_000019_rF_00007.png,1097.0,1075.0,432.5,490.0,r
0,False,False,aachen_000057_000019_rF_00000.png,995.0,973.0,462.5,520.0,r
1,False,False,aachen_000057_000019_rF_00001.png,1045.0,1023.0,464.5,522.0,r
2,False,False,aachen_000057_000019_gF_00002.png,1341.0,1319.0,286.0,343.5,g
0,False,True,aachen_000061_000019_ri_00000.png,125.0,103.0,292.5,350.0,r
1,False,False,aachen_000061_000019_rF_00001.png,1763.0,1741.0,304.5,362.0,r
2,False,False,aachen_000061_000019_rF_00002.png,1091.0,1069.0,464.5,522.0,r
3,False,False,aachen_000061_000019_rF_00003.png,1184.5,1151.5,460.75,547.0,r
4,False,False,aachen_000061_000019_rF_00004.png,1359.0,1337.0,480.5,538.0,r
5,False,False,aachen_000061_000019_rF_00005.png,1537.0,1515.0,484.5,542.0,r
6,False,True,aachen_000061_000019_gi_00006.png,1697.0,1675.0,324.0,381.5,g
7,False,False,aachen_000061_000019_rF_00007.png,1096.5,1063.5,468.75,555.0,r
8,False,False,aachen_000061_000019_rF_00008.png,1368.5,1335.5,480.75,567.0,r
9,False,False,aachen_000061_000019_rF_00009.png,1536.5,1503.5,484.75,571.0,r
10,False,False,aachen_000061_000019_rF_00010.png,1888.5,1855.5,492.75,579.0,r
11,False,False,aachen_000061_000019_rF_00011.png,1539.25,1500.75,490.875,591.5,r
0,False,False,aachen_000065_000019_rF_00000.png,1331.0,1309.0,164.5,222.0,r
1,True,False,aachen_000065_000019_rT_00001.png,1713.0,1691.0,262.5,320.0,r
2,False,True,aachen_000065_000019_ri_00002.png,152.5,119.5,276.75,363.0,r
